Rank	Name	Occurrences
1.	Smith	2,376,206
2.	Johnson	1,857,160
3.	Williams	1,534,042
4.	Brown	1,380,145
5.	Jones	1,362,755
6.	Miller	1,127,803
7.	Davis	1,072,335
8.	Garcia	858,289
9.	Rodriguez	804,240
10.	Wilson	783,051
11.	Martinez	775,072
12.	Anderson	762,394
13.	Taylor	720,370
14.	Thomas	710,696
15.	Hernandez	706,372
16.	Moore	698,671
17.	Martin	672,711
18.	Jackson	666,125
19.	Thompson	644,368
20.	White	639,515
21.	Lopez	621,536
22.	Lee	605,860
23.	Gonzalez	597,718
24.	Harris	593,542
25.	Clark	548,369
26.	Lewis	509,930
27.	Robinson	503,028
28.	Walker	501,307
29.	Perez	488,521
30.	Hall	473,568
